gene_symbol,Clvs1
analysis_id,q2qphz5rc409467
pvalue,0.6941623
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:1921688
parameter_id,IMPC_GRS_009_001
