gene_symbol,Psd4
mouse_life_stage,Early adult
analysis_id,62zslnh00fj588o
parameter_name,Latency to center entry
mouse_strain,C57BL
pvalue,0.9783647
gene_accession_id,MGI:2674093
parameter_id,IMPC_OFD_018_001
