parameter_name,Tibia
pvalue,0.1564717
gene_accession_id,MGI:1914050
parameter_id,IMPC_XRY_025_001
gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,68xdu43292w4lfq
