parameter_name,NK Subsets (Q2)
gene_symbol,Zcchc2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6onhxc775a9qf15
pvalue,0.5678935
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:2444114
