gene_symbol,Amigo1
parameter_name,Retina (combined)
analysis_id,585ahg3j99jxb63
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
mouse_strain,C57BL
pvalue,0.3886478
