analysis_id,3yi8zz697vw9650
pvalue,0.3544672
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Center average speed
gene_accession_id,MGI:99605
gene_symbol,Cntfr
