parameter_name,Centre resting time
mouse_strain,C57BL
pvalue,0.2085662
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
analysis_id,9788ni5b309b5zj
parameter_id,ESLIM_007_001_011
gene_symbol,Zmynd8
