analysis_id,74tw9cb5umntphy
gene_accession_id,MGI:2446274
parameter_name,Creatinine
pvalue,0.4125889
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
