analysis_id,mfjq121i0976sbi
mouse_strain,C57BL
gene_symbol,Lcn2
parameter_id,ESLIM_007_001_009
gene_accession_id,MGI:96757
parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.09868649
