parameter_name,Neutrophil cell count
pvalue,0.8038488
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_id,IMPC_HEM_030_001
gene_symbol,Eprs1
analysis_id,5xbyj8j2rl46595
