gene_symbol,Kcns1
mouse_strain,C50BL
pvalue,0.4005771
gene_accession_id,MGI:1197019
parameter_id,MGP_CSD_030_001
analysis_id,god35of9s05wis3
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
