gene_symbol,Dhdds
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
parameter_name,Anophthalmia
pvalue,0.5087883
analysis_id,bvo6e7r55r82m08
gene_accession_id,MGI:1914672
