parameter_name,CD8 CD44+CD62L- T cells
analysis_id,802c2i50027r809
pvalue,0.2573432
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:2140475
