analysis_id,fyz3vtz1v3bj306
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
gene_symbol,Abo
mouse_strain,C57BL
gene_accession_id,MGI:2135738
pvalue,0.7536005
