parameter_name,Average duration
parameter_id,JAX_ROT_002_001
pvalue,0.1550434
gene_accession_id,MGI:87968
analysis_id,1c7g5x88p9b5869
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E9.5
