parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1914256
pvalue,0.135825
mouse_strain,C57BL
gene_symbol,Cisd2
mouse_life_stage,Early adult
analysis_id,9t334bl5583q492
parameter_name,Percent time in dark
