analysis_id,wk5387gyvic88u4
parameter_id,IMPC_XRY_065_001
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.3603401
parameter_name,Lumbar processes
mouse_life_stage,E15.5
