analysis_id,875squvzooy7t40
parameter_name,Chloride
gene_symbol,Slc28a2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
parameter_id,HMGULA_CBC_003_001
pvalue,0.3801804
