parameter_name,Alanine aminotransferase
pvalue,0.2791858
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,1829ri776w4a725
gene_accession_id,MGI:2444554
