gene_symbol,Rhbg
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
analysis_id,4y6m23bv3m7d0s7
gene_accession_id,MGI:1927379
pvalue,0.09883161
