analysis_id,6lu0h60j3m20849
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
pvalue,0.9387474
mouse_strain,B6J
parameter_name,lens
parameter_id,M-G-P_014_001_009
