parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685053
pvalue,0.3045648
parameter_id,IMPC_HEM_029_001
gene_symbol,Ntmt2
analysis_id,64nha62c664wo43
