gene_symbol,Med22
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4ca2nn920b724f9
parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:98446
pvalue,0.9718696
