analysis_id,57474u808h96283
parameter_id,IMPC_OFD_012_001
pvalue,0.9764458
parameter_name,Periphery permanence time
gene_accession_id,MGI:3026886
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,Early adult
