parameter_name,Time mobile dark side
analysis_id,02364n62fr5331u
pvalue,0.2014868
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,JAX_LDT_005_001
gene_symbol,Fgb
