parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1931322
pvalue,0.5780125
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t7lk0r21k15r5y9
gene_symbol,Car13
