analysis_id,i65t50fn3624466
parameter_id,ESLIM_016_001_003
pvalue,0.4489756
gene_symbol,Clvs1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_name,Haemoglobin
