analysis_id,83r4n2e3n19icj3
gene_symbol,Sfpq
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.8980845
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
