Parameter_name,Calcium
Gene_symbol,Dcaf12
Mouse_strain,C57BL
Pvalue,0.2353898
Gene_accession_id,MGI:1916220
Mouse_life_stage,Early adult
analysis_id,p3xa1k44p48x68m
parameter_id,HMGULA_CBC_009_001
