parameter_name,Neural tube morphology
gene_symbol,Eprs1
pvalue,0.1964168
mouse_life_stage,E12.5
analysis_id,6y6ftpq2ao738w2
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_id,IMPC_GEL_060_001
