parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
gene_symbol,Slc28a2
analysis_id,v519173kc362698
pvalue,0.5399795
