analysis_id,0i985o8o5k87v01
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,RR
parameter_id,IMPC_ECG_004_001
pvalue,0.5723625
mouse_life_stage,Early adult
