gene_symbol,AU040320
gene_accession_id,MGI:2140475
analysis_id,gnl9en92itjr708
pvalue,0.592028
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C57BL
