parameter_name,B cell percentage
pvalue,0.6237451
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_strain,C57BL
analysis_id,e329r7m48a9rln4
mouse_life_stage,Early adult
