analysis_id,8g0b3644b1gi203
gene_symbol,Zmynd8
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
pvalue,0.9523233
parameter_name,Coat - hair texture / appearance - abdomen
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
