analysis_id,kg61r17bxv86wp0
pvalue,0.6502822
parameter_id,M-G-P_014_001_009
parameter_name,lens
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
