parameter_name,Response amplitude - S
pvalue,0.8161193
gene_accession_id,MGI:1913105
analysis_id,1x0y8w485t8b23t
parameter_id,IMPC_ACS_006_001
gene_symbol,Slc28a2
mouse_life_stage,Early adult
mouse_strain,C57BL
