analysis_id,nz566ed0wi1wea5
gene_symbol,Traf6
parameter_name,Bone Mineral Content
pvalue,0.9329365
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:108072
mouse_strain,C57BL
