analysis_id,12qx81c1l0366jz
mouse_life_stage,E9.5
gene_symbol,Dmap1
pvalue,0.8401233
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,IMPC_GRS_009_001
