parameter_name,Head morphology
gene_accession_id,MGI:1917604
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.06282532
analysis_id,7y5w6r91378k78y
gene_symbol,Secisbp2l
