parameter_name,Haemoglobin
mouse_strain,C57BL
gene_symbol,Amigo1
pvalue,0.1139822
analysis_id,cic2ykc05569176
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_id,ESLIM_016_001_003
