parameter_name,Fusion of vertebrae
pvalue,0.8876972
analysis_id,p254s6af988d6n0
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,129SV
parameter_id,M-G-P_006_001_026
