gene_symbol,Ap5s1
pvalue,0.803189
gene_accession_id,MGI:1916846
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
analysis_id,83q974u3s5jblf7
