parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cd52
pvalue,0.5909517
analysis_id,md8gp0v00gfp4id
gene_accession_id,MGI:1346088
parameter_name,Coat - color pattern - back
