gene_symbol,Mms22l
pvalue,0.6183174
mouse_life_stage,Early adult
parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:2684980
parameter_name,HR
mouse_strain,C57BL
analysis_id,94n3pwawdam039w
