analysis_id,05xfh3062zdz01o
pvalue,0.9759969
gene_accession_id,MGI:2135738
gene_symbol,Abo
parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
