parameter_name,NK cell number
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,MGP_PBI_027_001
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
analysis_id,zave0224s4g9z63
pvalue,0.2987364
