analysis_id,80w0rhj7m4y7p26
parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
gene_symbol,AU040320
pvalue,0.06717867
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
parameter_name,Cue Baseline % Freezing Time
