parameter_name,Head coat/hair presence
pvalue,0.3081765
analysis_id,fez7054kfw9bs1o
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
