analysis_id,1032075077q70li
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:1918345
parameter_name,Mean left eye lens density
gene_symbol,Kif24
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4542701
