parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
analysis_id,h0845z1r0v9460q
pvalue,0.1443264
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
