gene_symbol,Slx4ip
parameter_name,Fractional Shortening
pvalue,0.3076008
analysis_id,6q1bpz354jd3mtn
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
