analysis_id,t9h3qy6bp4zyj9y
gene_accession_id,MGI:1916220
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Tibia
pvalue,0.116992
parameter_id,IMPC_XRY_025_001
gene_symbol,Dcaf12
