gene_symbol,Dnajc6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919935
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
pvalue,0.9471045
analysis_id,m075ks6ieo707h2
