parameter_name,Eye
analysis_id,99y077f9v6g0046
gene_symbol,Trpa1
mouse_strain,C57BL
pvalue,0.6449481
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:3522699
