parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E9.5
pvalue,0.915777
analysis_id,2082i9ywy7q9dxa
