gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
analysis_id,q43yxiy1k02j55e
pvalue,0.3889287
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
