analysis_id,8591kw43g21gsvx
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
gene_symbol,Cdin1
mouse_life_stage,Early adult
pvalue,0.5869895
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:3026886
