gene_symbol,Lurap1
pvalue,0.9714879
mouse_life_stage,Early adult
analysis_id,ad7ge3ypw95war1
parameter_name,Hemoglobin
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_id,IMPC_HEM_003_001
