gene_symbol,Kcng1
pvalue,0.6027945
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
gene_accession_id,MGI:3616086
analysis_id,8d45444j15toela
