analysis_id,v8a4q1bzh7434y2
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Weight
pvalue,0.7591752
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
