analysis_id,92feqy080gsfs43
gene_accession_id,MGI:97838
parameter_name,Edema
mouse_life_stage,Early adult
gene_symbol,Eprs1
parameter_id,IMPC_GEO_064_001
pvalue,0.4696365
mouse_strain,C57BL
