gene_symbol,Mov10
analysis_id,4rqd5k81a5zu37m
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08249353
