parameter_name,Startle response
mouse_strain,C57BL
gene_symbol,Bach2
pvalue,0.7903055
gene_accession_id,MGI:894679
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
analysis_id,15x492npxg348c9
